Data is to be used only for analysis purposes related to broadband mapping,,,,
For questions contact bbdata@microsoft.com,,,,
,,,,
Broadband availability in the United States based on the FCC,,,,
Fourteenth Broadband Deployment Report: https://www.fcc.gov/reports-research/reports/broadband-progress-reports/fourteenth-broadband-deployment-report,,,,
Form 477 data as of December 2019,,,,
,,,,
Broadband* usage in the United States based on Microsoft data,,,,
Data for October 2020,,,,
* Download speed benchmark of 25Mbps,,,,
,,,,
Field list,Notes,,,
MI,26119,Montmorency County,0.7015,0.098
MI,26121,Muskegon County,0.9783,0.571
MI,26123,Newaygo County,0.7927,0.243
MI,26125,Oakland County,0.9906,0.75
MI,26127,Oceana County,0.7624,0.112
MI,26129,Ogemaw County,0.9103,0.224
MI,26131,Ontonagon County,0.6733,0.103
MI,26133,Osceola County,0.9719,0.104
MI,26135,Oscoda County,0.9561,0.077
MI,26137,Otsego County,0.9486,0.666
MI,26139,Ottawa County,0.9965,0.732
MI,26141,Presque Isle County,0.8539,0.091
MI,26143,Roscommon County,0.9561,0.675
MI,26145,Saginaw County,0.9557,0.559
MI,26147,St. Clair County,0.8897,0.495
MI,26149,St. Joseph County,0.9023,0.552
MI,26151,Sanilac County,0.3422,0.121
MI,26153,Schoolcraft County,0.572,0.124
MI,26155,Shiawassee County,0.9149,0.541
MI,26157,Tuscola County,0.6996,0.199
MI,26159,Van Buren County,0.8582,0.458
MI,26161,Washtenaw County,0.9821,0.627
MI,26163,Wayne County,0.9916,0.617
MI,26165,Wexford County,0.6708,0.474
MN,27001,Aitkin County,0.7224,0.217
MN,27003,Anoka County,0.9925,0.71
MN,27005,Becker County,0.9421,0.661
MN,27007,Beltrami County,0.9934,0.847
MN,27009,Benton County,0.9256,0.376
MN,27011,Big Stone County,0.9347,0.443
MN,27013,Blue Earth County,0.9919,0.765
MN,27015,Brown County,0.9779,0.566
MN,27017,Carlton County,0.773,0.375
MN,27019,Carver County,0.9986,0.674
MN,27021,Cass County,0.897,0.26
MN,27023,Chippewa County,1,0.3
MN,27025,Chisago County,0.9207,0.221
MN,27027,Clay County,0.9847,0.466
MN,27029,Clearwater County,0.9997,0.27
MN,27031,Cook County,0.9848,0.753
MN,27033,Cottonwood County,1,0.203
MN,27035,Crow Wing County,0.9514,0.755
MN,27037,Dakota County,0.9995,0.725
MN,27039,Dodge County,1,0.553
MN,27041,Douglas County,0.9967,0.621
MN,27043,Faribault County,0.9848,0.271
MN,27045,Fillmore County,0.9663,0.34
MN,27047,Freeborn County,0.9999,0.331
MN,27049,Goodhue County,0.9968,0.609
MN,27051,Grant County,0.9901,0.344
MN,27053,Hennepin County,0.9998,0.692
MN,27055,Houston County,0.9073,0.372
MN,27057,Hubbard County,0.9811,0.453
MN,27059,Isanti County,0.8131,0.572
MN,27061,Itasca County,0.9445,0.511
MN,27063,Jackson County,1,0.483
MN,27065,Kanabec County,0.6318,0.09
MN,27067,Kandiyohi County,1,0.545
MN,27069,Kittson County,0.7182,0.253
MN,27071,Koochiching County,0.8228,0.356
MN,27073,Lac qui Parle County,0.9944,0.365
MN,27075,Lake County,0.9175,0.274
MN,27077,Lake of the Woods County,0.607,0.318
MN,27079,Le Sueur County,0.997,0.469
MN,27081,Lincoln County,1,0.213
MN,27083,Lyon County,1,0.557
MN,27085,McLeod County,0.9836,0.633
MN,27087,Mahnomen County,0.9282,0.225
MN,27089,Marshall County,0.8107,0.171
MN,27091,Martin County,0.9936,0.461
MN,27093,Meeker County,0.9652,0.497
MN,27095,Mille Lacs County,0.7691,0.322
MN,27097,Morrison County,0.9129,0.23
MN,27099,Mower County,0.9992,0.427
MN,27101,Murray County,1,0.152
MN,27103,Nicollet County,0.9528,0.441
MN,27105,Nobles County,1,0.452
MN,27107,Norman County,0.9755,0.279
MN,27109,Olmsted County,0.9991,0.774
MN,27111,Otter Tail County,0.9869,0.426
MN,27113,Pennington County,0.9873,0.423
MN,27115,Pine County,0.6755,0.193
MN,27117,Pipestone County,1,0.397
MN,27119,Polk County,0.9949,0.408
MN,27121,Pope County,0.9951,0.258
MN,27123,Ramsey County,0.9992,0.682
MN,27125,Red Lake County,1,0.533
MN,27127,Redwood County,1,0.234
MN,27129,Renville County,1,0.31
MN,27131,Rice County,0.9897,0.576
MN,27133,Rock County,1,0.758
MN,27135,Roseau County,0.789,0.323
MN,27137,St. Louis County,0.8902,0.494
MN,27139,Scott County,0.9927,0.733
MN,27141,Sherburne County,0.9405,0.691
MN,27143,Sibley County,0.9935,0.438
MN,27145,Stearns County,0.9623,0.645
MN,27147,Steele County,1,0.785
MN,27149,Stevens County,0.9898,0.795
MN,27151,Swift County,0.9987,0.383
MN,27153,Todd County,0.7986,0.426
MN,27155,Traverse County,0.9761,0.135
MN,27157,Wabasha County,0.9939,0.456
MN,27159,Wadena County,0.9714,0.52
MN,27161,Waseca County,1,0.258
MN,27163,Washington County,0.9833,0.67
MN,27165,Watonwan County,0.9964,0.67
MN,27167,Wilkin County,0.9965,0.148
MN,27169,Winona County,0.9988,0.446
MN,27171,Wright County,0.9619,0.578
MN,27173,Yellow Medicine County,1,0.272
MS,28001,Adams County,0.8488,0.459
MS,28003,Alcorn County,0.7763,0.369
MS,28005,Amite County,0.747,0.105
MS,28007,Attala County,0.5162,0.143
MS,28009,Benton County,0.4409,0.141
MS,28011,Bolivar County,0.7678,0.35
MS,28013,Calhoun County,0.7179,0.122
MS,28015,Carroll County,0.276,0.068
MS,28017,Chickasaw County,0.5588,0.092
MS,28019,Choctaw County,0.5659,0.167
MS,28021,Claiborne County,0.414,0.131
MS,28023,Clarke County,0.4468,0.087
MS,28025,Clay County,0.6469,0.16
MS,28027,Coahoma County,0.7518,0.22
MS,28029,Copiah County,0.4006,0.073
MS,28031,Covington County,0.0451,0.054
MS,28033,DeSoto County,0.9656,0.575
MS,28035,Forrest County,0.9129,0.231
MS,28037,Franklin County,0.2528,0.129
MS,28039,George County,0.7602,0.131
MS,28041,Greene County,0.2263,0.047
MS,28043,Grenada County,0.8029,0.342
MS,28045,Hancock County,0.9942,0.317
MS,28047,Harrison County,0.9762,0.477
MS,28049,Hinds County,0.9176,0.365
MS,28051,Holmes County,0.6209,0.07
MS,28053,Humphreys County,0.5676,0.149
MS,28055,Issaquena County,0.0173,0.145
MS,28057,Itawamba County,0.6489,0.131
MS,28059,Jackson County,0.9787,0.412
MS,28061,Jasper County,0.6047,0.147
MS,28063,Jefferson County,0.0309,0.053
MS,28065,Jefferson Davis County,0.6537,0.031
MS,28067,Jones County,0.786,0.292
MS,28069,Kemper County,0.1372,0.027
MS,28071,Lafayette County,0.8259,0.482
MS,28073,Lamar County,0.8381,0.487
MS,28075,Lauderdale County,0.8678,0.355
MS,28077,Lawrence County,0.0615,0.049
MS,28079,Leake County,0.4547,0.066
MS,28081,Lee County,0.8878,0.529
MS,28083,Leflore County,0.8134,0.379
MS,28085,Lincoln County,0.7191,0.18
MS,28087,Lowndes County,0.8988,0.342
MS,28089,Madison County,0.9627,0.567
MS,28091,Marion County,0.4886,0.057
MS,28093,Marshall County,0.6767,0.105
MS,28095,Monroe County,0.7177,0.175
MS,28097,Montgomery County,0.7877,0.255
MS,28099,Neshoba County,0.6451,0.269
MS,28101,Newton County,0.6903,0.071
MS,28103,Noxubee County,0.4986,0.026
MS,28105,Oktibbeha County,0.8646,0.381
MS,28107,Panola County,0.7542,0.213
MS,28109,Pearl River County,0.9394,0.347
MS,28111,Perry County,0.2253,0.012
MS,28113,Pike County,0.7852,0.221
MS,28115,Pontotoc County,0.5639,0.219
MS,28117,Prentiss County,0.6786,0.273
MS,28119,Quitman County,0.6188,0.053
MS,28121,Rankin County,0.9549,0.463
MS,28123,Scott County,0.5739,0.052
MS,28125,Sharkey County,0.5547,0.083
MS,28127,Simpson County,0.5809,0.074
MS,28129,Smith County,0.4511,0.043
MS,28131,Stone County,0.8926,0.153
MS,28133,Sunflower County,0.7486,0.149
MS,28135,Tallahatchie County,0.5486,0.074
MS,28137,Tate County,0.7815,0.252
MS,28139,Tippah County,0.8456,0.213
MS,28141,Tishomingo County,0.6357,0.149
MS,28143,Tunica County,0.6806,0.131
MS,28145,Union County,0.6678,0.336
MS,28147,Walthall County,0.2662,0.031
MS,28149,Warren County,0.9745,0.208
MS,28151,Washington County,0.9007,0.312
MS,28153,Wayne County,0.6252,0.071
MS,28155,Webster County,0.4943,0.069
MS,28157,Wilkinson County,0.5811,0.091
MS,28159,Winston County,0.6873,0.349
MS,28161,Yalobusha County,0.6554,0.053
MS,28163,Yazoo County,0.7287,0.15
MO,29001,Adair County,0.9708,0.475
MO,29003,Andrew County,0.8811,0.639
MO,29005,Atchison County,0.79,0.129
MO,29007,Audrain County,0.9536,0.73
MO,29009,Barry County,0.979,0.416
MO,29011,Barton County,0.7403,0.047
MO,29013,Bates County,0.6578,0.142
MO,29015,Benton County,0.3123,0.171
MO,29017,Bollinger County,0.0161,0.066
MO,29019,Boone County,0.9249,0.466
MO,29021,Buchanan County,0.891,0.488
MO,29023,Butler County,0.8241,0.262
MO,29025,Caldwell County,0.3756,0.148
MO,29027,Callaway County,1,0.586
MO,29029,Camden County,0.9137,0.625
MO,29031,Cape Girardeau County,0.8576,0.584
MO,29033,Carroll County,0.6493,0.196
MO,29035,Carter County,0.1824,0.039
MO,29037,Cass County,0.9368,0.406
MO,29039,Cedar County,0.7473,0.132
MO,29041,Chariton County,0.6092,0.419
MO,29043,Christian County,1,0.473
MO,29045,Clark County,0.846,0.162
MO,29047,Clay County,0.9836,0.719
MO,29049,Clinton County,0.8253,0.319
MO,29051,Cole County,1,0.548
MO,29053,Cooper County,0.9999,0.365
MO,29055,Crawford County,0.9848,0.171
MO,29057,Dade County,0.6309,0.074
MO,29059,Dallas County,0.9998,0.1
MO,29061,Daviess County,0.7079,0.104
MO,29063,DeKalb County,0.6103,0.428
MO,29065,Dent County,0.6825,0.267
MO,29067,Douglas County,1,0.102
MO,29069,Dunklin County,0.998,0.255
MO,29071,Franklin County,0.9514,0.405
MO,29073,Gasconade County,0.9944,0.183
MO,29075,Gentry County,0.9575,0.199
MO,29077,Greene County,1,0.547
MO,29079,Grundy County,0.9178,0.284
MO,29081,Harrison County,0.682,0.187
MO,29083,Henry County,0.5075,0.151
MO,29085,Hickory County,0.2074,0.082
MO,29087,Holt County,0.5769,0.073
MO,29089,Howard County,0.1625,0.183
MO,29091,Howell County,0.9021,0.252
MO,29093,Iron County,0.632,0.146
MO,29095,Jackson County,0.9853,0.618
MO,29097,Jasper County,0.9814,0.525
MO,29099,Jefferson County,0.9647,0.549
MO,29101,Johnson County,0.921,0.553
MO,29103,Knox County,0.6507,0.269
MO,29105,Laclede County,1,0.24
MO,29107,Lafayette County,0.7683,0.137
MO,29109,Lawrence County,0.9905,0.186
MO,29111,Lewis County,0.8937,0.412
MO,29113,Lincoln County,0.9238,0.497
MO,29115,Linn County,0.8876,0.497
MO,29117,Livingston County,0.7564,0.297
MO,29119,McDonald County,0.8133,0.091
MO,29121,Macon County,0.9439,0.606
MO,29123,Madison County,0.5153,0.102
MO,29125,Maries County,0.9963,0.036
MO,29127,Marion County,0.9862,0.596
MO,29129,Mercer County,0.6939,0.221
MO,29131,Miller County,0.9648,0.141
MO,29133,Mississippi County,0.9249,0.151
MO,29135,Moniteau County,1,0.52
MO,29137,Monroe County,0.7148,0.146
MO,29139,Montgomery County,0.9965,0.172
MO,29141,Morgan County,0.9851,0.512
MO,29143,New Madrid County,0.9508,0.157
MO,29145,Newton County,0.9999,0.185
MO,29147,Nodaway County,0.9116,0.454
MO,29149,Oregon County,0.2077,0.138
MO,29151,Osage County,1,0.1
MO,29153,Ozark County,0.0375,0.048
MO,29155,Pemiscot County,0.9066,0.085
MO,29157,Perry County,0.5334,0.6
MO,29159,Pettis County,0.7534,0.375
MO,29161,Phelps County,0.8391,0.371
MO,29163,Pike County,0.7128,0.196
MO,29165,Platte County,0.9547,0.587
MO,29167,Polk County,0.9355,0.352
MO,29169,Pulaski County,0.9443,0.353
MO,29171,Putnam County,0.9514,0.122
MO,29173,Ralls County,0.9836,0.367
MO,29175,Randolph County,0.742,0.321
MO,29177,Ray County,0.6515,0.168
MO,29179,Reynolds County,0.5219,0.037
MO,29181,Ripley County,0.2467,0.078
MO,29183,St. Charles County,0.9878,0.758
MO,29185,St. Clair County,0.1184,0.032
MO,29186,Ste. Genevieve County,0.5856,0.113
MO,29187,St. Francois County,0.8932,0.502
MO,29189,St. Louis County,0.999,0.711
MO,29195,Saline County,0.8107,0.257
MO,29197,Schuyler County,0.9197,0.161
MO,29199,Scotland County,0.9231,0.2
MO,29201,Scott County,0.9198,0.669
MO,29203,Shannon County,0.1506,0.014
MO,29205,Shelby County,0.9283,0.195
MO,29207,Stoddard County,0.8957,0.291
MO,29209,Stone County,1,0.097
MO,29211,Sullivan County,0.7862,0.188
MO,29213,Taney County,0.9626,0.52
MO,29215,Texas County,0.764,0.09
MO,29217,Vernon County,0.7595,0.212
MO,29219,Warren County,0.8298,0.429
MO,29221,Washington County,0.5092,0.079
MO,29223,Wayne County,0.4328,0.087
MO,29225,Webster County,1,0.141
MO,29227,Worth County,0.5931,0.071
MO,29229,Wright County,1,0.098
MO,29510,St. Louis city,1,0.509
MT,30001,Beaverhead County,0.8365,0.344
MT,30003,Big Horn County,0.4524,0.193
MT,30005,Blaine County,0.9832,0.316
MT,30007,Broadwater County,0.5945,0.17
MT,30009,Carbon County,0.4809,0.257
MT,30011,Carter County,0.5256,0.191
MT,30013,Cascade County,0.9978,0.673
MT,30015,Chouteau County,0.9892,0.274
MT,30017,Custer County,0.9193,0.68
MT,30019,Daniels County,0.9828,0.375
MT,30021,Dawson County,0.8842,0.524
MT,30023,Deer Lodge County,0.7914,0.499
MT,30025,Fallon County,0.7646,0.538
MT,30027,Fergus County,0.8725,0.512
MT,30029,Flathead County,0.8473,0.71
MT,30031,Gallatin County,0.99,0.687
MT,30033,Garfield County,0.4285,0.779
MT,30035,Glacier County,0.6929,0.265
MT,30037,Golden Valley County,0.9086,0.275
MT,30039,Granite County,0.3036,0.064
MT,30041,Hill County,0.9712,0.529
MT,30043,Jefferson County,0.6665,0.106
MT,30045,Judith Basin County,0.8629,0.114
MT,30047,Lake County,0.7069,0.363
MT,30049,Lewis and Clark County,0.9918,0.61
MT,30051,Liberty County,0.988,0.206
MT,30053,Lincoln County,0.7402,0.183
MT,30055,McCone County,0.4946,0.514
MT,30057,Madison County,0.693,0.513
MT,30059,Meagher County,0.9656,0.186
MT,30061,Mineral County,0.3587,0.075
MT,30063,Missoula County,0.9317,0.589
MT,30065,Musselshell County,0.5888,0.498
MT,30067,Park County,0.7069,0.421
MT,30069,Petroleum County,0.4004,0.261
MT,30071,Phillips County,0.8275,0.144
MT,30073,Pondera County,0.379,0.207
MT,30075,Powder River County,0.5672,0.241
MT,30077,Powell County,0.5443,0.128
MT,30079,Prairie County,0.6342,0.329
MT,30081,Ravalli County,0.8991,0.262
MT,30083,Richland County,0.7874,0.665
MT,30085,Roosevelt County,0.7559,0.282
MT,30087,Rosebud County,0.6433,0.208
MT,30089,Sanders County,0.3304,0.103
MT,30091,Sheridan County,0.8178,0.27
MT,30093,Silver Bow County,0.9589,0.55
MT,30095,Stillwater County,0.7274,0.079
MT,30097,Sweet Grass County,0.9181,0.332
MT,30099,Teton County,0.5648,0.345
MT,30101,Toole County,0.4426,0.127
MT,30103,Treasure County,0.6839,0.033
MT,30105,Valley County,0.8119,0.292
MT,30107,Wheatland County,0.9713,0.201
MT,30109,Wibaux County,0.0826,0.125
MT,30111,Yellowstone County,0.9352,0.69
NE,31001,Adams County,0.939,0.637
NE,31003,Antelope County,0.8012,0.198
NE,31005,Arthur County,0.7559, -   
NE,31007,Banner County,0.9879, -   
NE,31009,Blaine County,0.4839,0.097
NE,31011,Boone County,0.6308,0.159
NE,31013,Box Butte County,0.9849,0.535
NE,31015,Boyd County,0.9943,0.424
NE,31017,Brown County,0.268,0.109
NE,31019,Buffalo County,0.9653,0.713
NE,31021,Burt County,0.981,0.266
NE,31023,Butler County,1,0.243
NE,31025,Cass County,1,0.419
NE,31027,Cedar County,0.6553,0.267
NE,31029,Chase County,1,0.48
NE,31031,Cherry County,0.515,0.146
NE,31033,Cheyenne County,0.9522,0.436
NE,31035,Clay County,0.7429,0.219
NE,31037,Colfax County,1,0.132
NE,31039,Cuming County,0.89,0.284
NE,31041,Custer County,0.6641,0.244
NE,31043,Dakota County,0.9079,0.271
NE,31045,Dawes County,0.7901,0.339
NE,31047,Dawson County,0.9018,0.435
NE,31049,Deuel County,0.9409,0.111
NE,31051,Dixon County,0.9237,0.301
NE,31053,Dodge County,1,0.55
NE,31055,Douglas County,1,0.657
NE,31057,Dundy County,0.961,0.449
NE,31059,Fillmore County,0.8411,0.598
NE,31061,Franklin County,0.72,0.216
NE,31063,Frontier County,0.7678,0.043
NE,31065,Furnas County,0.7868,0.191
NE,31067,Gage County,0.9535,0.407
NE,31069,Garden County,0.9249,0.073
NE,31071,Garfield County,0.9025,0.23
NE,31073,Gosper County,0.5251,0.26
NE,31075,Grant County,0.6934,0.108
NE,31077,Greeley County,0.3565,0.136
NE,31079,Hall County,0.9978,0.689
NE,31081,Hamilton County,0.9944,0.409
NE,31083,Harlan County,0.7559,0.074
NE,31085,Hayes County,0.8766,0.159
NE,31087,Hitchcock County,0.9743,0.174
NE,31089,Holt County,0.8074,0.206
NE,31091,Hooker County,0.9413,0.123
NE,31093,Howard County,0.8116,0.178
NE,31095,Jefferson County,0.6807,0.351
NE,31097,Johnson County,1,0.116
NE,31099,Kearney County,0.8987,0.333
NE,31101,Keith County,0.9459,0.589
NE,31103,Keya Paha County,0.9653,0.163
NE,31105,Kimball County,0.9705,0.215
NE,31107,Knox County,0.5193,0.133
NE,31109,Lancaster County,1,0.677
NE,31111,Lincoln County,0.9431,0.558
NE,31113,Logan County,0.2366,0.186
NE,31115,Loup County,0.8462,0.089
NE,31117,McPherson County,0.5182, -   
NE,31119,Madison County,0.9669,0.536
NE,31121,Merrick County,0.9381,0.267
NE,31123,Morrill County,0.9819,0.268
NE,31125,Nance County,0.8068,0.203
NE,31127,Nemaha County,1,0.31
NE,31129,Nuckolls County,0.7406,0.429
NE,31131,Otoe County,1,0.416
NE,31133,Pawnee County,0.8898,0.078
NE,31135,Perkins County,0.9588,0.322
NE,31137,Phelps County,0.9311,0.281
NE,31139,Pierce County,0.8127,0.183
NE,31141,Platte County,0.9838,0.535
NE,31143,Polk County,0.9944,0.244
NE,31145,Red Willow County,0.989,0.346
NE,31147,Richardson County,0.9959,0.272
NE,31149,Rock County,0.7377,0.108
NE,31151,Saline County,0.9944,0.451
NE,31153,Sarpy County,1,0.726
NE,31155,Saunders County,1,0.361
NE,31157,Scotts Bluff County,1,0.683
NE,31159,Seward County,1,0.635
NE,31161,Sheridan County,0.5198,0.12
NE,31163,Sherman County,0.7434,0.184
NE,31165,Sioux County,1,0.072
NE,31167,Stanton County,0.912,0.26
NE,31169,Thayer County,0.6502,0.341
NE,31171,Thomas County,0.8019,0.1
NE,31173,Thurston County,0.5868,0.235
NE,31175,Valley County,0.7814,0.262
NE,31177,Washington County,1,0.239
NE,31179,Wayne County,0.7327,0.346
NE,31181,Webster County,0.5612,0.393
NE,31183,Wheeler County,0.7791,0.264
NE,31185,York County,0.9915,0.589
NV,32001,Churchill County,0.8894,0.756
NV,32003,Clark County,0.9938,0.781
NV,32005,Douglas County,0.9652,0.644
NV,32007,Elko County,0.7842,0.129
NV,32009,Esmeralda County,0.2325,0.074
NV,32011,Eureka County,0.0621,0.026
NV,32013,Humboldt County,0.9074,0.18
NV,32015,Lander County,0.0022,0.056
NV,32017,Lincoln County,0.8703,0.145
NV,32019,Lyon County,0.8227,0.563
NV,32021,Mineral County,0.7154,0.315
NV,32023,Nye County,0.8587,0.535
NV,32027,Pershing County,0.1767,0.035
NV,32029,Storey County,0.6911,0.176
NV,32031,Washoe County,0.9722,0.73
NV,32033,White Pine County,0.0095,0.083
NV,32510,Carson City,0.9948,0.796
NH,33001,Belknap County,0.9732,0.774
NH,33003,Carroll County,0.9774,0.625
NH,33005,Cheshire County,0.8636,0.404
NH,33007,Coos County,0.8917,0.426
NH,33009,Grafton County,0.9401,0.563
NH,33011,Hillsborough County,0.9817,0.871
NH,33013,Merrimack County,0.9779,0.786
NH,33015,Rockingham County,0.99,0.844
NH,33017,Strafford County,0.984,0.726
NH,33019,Sullivan County,0.8682,0.629
NJ,34001,Atlantic County,0.979,0.639
NJ,34003,Bergen County,0.9961,0.833
NJ,34005,Burlington County,0.9849,0.778
NJ,34007,Camden County,0.9881,0.776
NJ,34009,Cape May County,0.9861,0.749
NJ,34011,Cumberland County,0.9687,0.55
NJ,34013,Essex County,0.9864,0.731
NJ,34015,Gloucester County,0.9902,0.738
NJ,34017,Hudson County,0.9873,0.684
NJ,34019,Hunterdon County,0.9901,0.693
NJ,34021,Mercer County,0.977,0.816
NJ,34023,Middlesex County,0.967,0.832
NJ,34025,Monmouth County,0.9904,0.847
NJ,34027,Morris County,0.9689,0.864
NJ,34029,Ocean County,0.9862,0.736
NJ,34031,Passaic County,0.9935,0.804
NJ,34033,Salem County,0.9745,0.534
NJ,34035,Somerset County,0.9927,0.831
NJ,34037,Sussex County,0.9966,0.58
NJ,34039,Union County,0.9931,0.784
NJ,34041,Warren County,0.9893,0.614
NM,35001,Bernalillo County,0.99,0.615
NM,35003,Catron County,0.0831,0.053
NM,35005,Chaves County,0.9159,0.337
NM,35006,Cibola County,0.6765,0.232
NM,35007,Colfax County,0.2637,0.111
NM,35009,Curry County,0.9182,0.576
NM,35011,De Baca County,0.8124,0.455
NM,35013,Dona Ana County,0.8459,0.335
NM,35015,Eddy County,0.8468,0.434
NM,35017,Grant County,0.8555,0.273
NM,35019,Guadalupe County,0.6833,0.463
NM,35021,Harding County,0.6864,0.477
NM,35023,Hidalgo County,0.0715,0.035
NM,35025,Lea County,0.932,0.536
NM,35027,Lincoln County,0.8645,0.454
NM,35028,Los Alamos County,0.9943,0.665
NM,35029,Luna County,0.5815,0.098
NM,35031,McKinley County,0.5141,0.135
NM,35033,Mora County,0.6355,0.164
NM,35035,Otero County,0.7886,0.436
NM,35037,Quay County,0.6226,0.385
NM,35039,Rio Arriba County,0.8619,0.16
NM,35041,Roosevelt County,0.8104,0.333
NM,35043,Sandoval County,0.9168,0.464
NM,35045,San Juan County,0.7837,0.482
NM,35047,San Miguel County,0.4943,0.101
NM,35049,Santa Fe County,0.9806,0.375
NM,35051,Sierra County,0.8211,0.248
NM,35053,Socorro County,0.0453,0.211
NM,35055,Taos County,0.7825,0.384
NM,35057,Torrance County,0.4439,0.074
NM,35059,Union County,0.7637,0.291
NM,35061,Valencia County,0.8646,0.305
NY,36001,Albany County,0.9975,0.696
NY,36003,Allegany County,0.7666,0.305
NY,36005,Bronx County,0.9817,0.486
NY,36007,Broome County,0.9913,0.621
NY,36009,Cattaraugus County,0.8212,0.32
NY,36011,Cayuga County,0.9692,0.675
NY,36013,Chautauqua County,0.9784,0.575
NY,36015,Chemung County,0.9804,0.649
NY,36017,Chenango County,0.9575,0.345
NY,36019,Clinton County,0.9351,0.595
NY,36021,Columbia County,0.992,0.495
NY,36023,Cortland County,0.9575,0.496
NY,36025,Delaware County,0.9766,0.462
NY,36027,Dutchess County,0.9783,0.827
NY,36029,Erie County,0.9984,0.656
NY,36031,Essex County,0.9391,0.398
NY,36033,Franklin County,0.9536,0.491
NY,36035,Fulton County,0.9665,0.624
NY,36037,Genesee County,0.9588,0.531
NY,36039,Greene County,0.9828,0.687
NY,36041,Hamilton County,0.853,0.637
NY,36043,Herkimer County,0.9365,0.44
NY,36045,Jefferson County,0.9848,0.62
NY,36047,Kings County,0.9978,0.568
NY,36049,Lewis County,0.8551,0.186
NY,36051,Livingston County,0.9072,0.439
NY,36053,Madison County,0.9418,0.45
NY,36055,Monroe County,0.9999,0.59
NY,36057,Montgomery County,0.9793,0.608
NY,36059,Nassau County,0.9926,0.874
NY,36061,New York County,1,0.55
NY,36063,Niagara County,0.9933,0.642
NY,36065,Oneida County,0.971,0.57
NY,36067,Onondaga County,0.999,0.708
NY,36069,Ontario County,0.9945,0.622
NY,36071,Orange County,0.9878,0.785
NY,36073,Orleans County,0.9745,0.56
NY,36075,Oswego County,0.995,0.584
NY,36077,Otsego County,0.9168,0.52
NY,36079,Putnam County,0.9894,0.827
NY,36081,Queens County,0.9996,0.689
NY,36083,Rensselaer County,0.9997,0.707
NY,36085,Richmond County,1,0.713
NY,36087,Rockland County,0.9872,0.769
NY,36089,St. Lawrence County,0.9537,0.513
NY,36091,Saratoga County,0.9991,0.592
NY,36093,Schenectady County,0.9998,0.719
NY,36095,Schoharie County,0.9909,0.4
NY,36097,Schuyler County,0.9738,0.506
NY,36099,Seneca County,0.9956,0.387
NY,36101,Steuben County,0.8998,0.492
NY,36103,Suffolk County,0.9652,0.854
NY,36105,Sullivan County,0.9947,0.515
NY,36107,Tioga County,0.9636,0.364
NY,36109,Tompkins County,0.986,0.554
NY,36111,Ulster County,0.9953,0.696
NY,36113,Warren County,0.9621,0.803
NY,36115,Washington County,0.9766,0.282
NY,36117,Wayne County,0.9636,0.565
NY,36119,Westchester County,0.9872,0.758
NY,36121,Wyoming County,0.8541,0.354
NY,36123,Yates County,0.9327,0.504
NC,37001,Alamance County,0.9882,0.608
NC,37003,Alexander County,0.9888,0.352
NC,37005,Alleghany County,0.9981,0.495
NC,37007,Anson County,0.8944,0.2
NC,37009,Ashe County,0.996,0.504
NC,37011,Avery County,0.9814,0.328
NC,37013,Beaufort County,0.8636,0.335
NC,37015,Bertie County,0.7442,0.13
NC,37017,Bladen County,0.7188,0.279
NC,37019,Brunswick County,0.9778,0.755
NC,37021,Buncombe County,0.9919,0.729
NC,37023,Burke County,0.9883,0.484
NC,37025,Cabarrus County,0.9953,0.801
NC,37027,Caldwell County,0.995,0.672
NC,37029,Camden County,0.9345,0.331
NC,37031,Carteret County,0.9981,0.549
NC,37033,Caswell County,0.5726,0.111
NC,37035,Catawba County,0.9954,0.66
NC,37037,Chatham County,0.8354,0.352
NC,37039,Cherokee County,0.8362,0.265
NC,37041,Chowan County,0.9706,0.332
NC,37043,Clay County,0.8184,0.313
NC,37045,Cleveland County,0.9683,0.606
NC,37047,Columbus County,0.8407,0.277
NC,37049,Craven County,0.9016,0.662
NC,37051,Cumberland County,0.9951,0.644
NC,37053,Currituck County,0.9733,0.456
NC,37055,Dare County,0.9924,0.706
NC,37057,Davidson County,0.9963,0.668
NC,37059,Davie County,0.9956,0.792
NC,37061,Duplin County,0.6969,0.182
NC,37063,Durham County,0.9935,0.653
NC,37065,Edgecombe County,0.8455,0.348
NC,37067,Forsyth County,0.9998,0.659
NC,37069,Franklin County,0.8665,0.363
NC,37071,Gaston County,0.9983,0.732
NC,37073,Gates County,0.5861,0.047
NC,37075,Graham County,0.6612,0.094
NC,37077,Granville County,0.8693,0.393
NC,37079,Greene County,0.2641,0.127
NC,37081,Guilford County,0.9982,0.651
NC,37083,Halifax County,0.8264,0.361
NC,37085,Harnett County,0.9519,0.467
NC,37087,Haywood County,0.8348,0.483
NC,37089,Henderson County,0.9263,0.459
NC,37091,Hertford County,0.8264,0.281
NC,37093,Hoke County,0.8957,0.624
NC,37095,Hyde County,0.1205,0.069
NC,37097,Iredell County,0.9833,0.697
NC,37099,Jackson County,0.6056,0.258
NC,37101,Johnston County,0.9461,0.671
NC,37103,Jones County,0.5078,0.115
NC,37105,Lee County,0.9829,0.69
NC,37107,Lenoir County,0.8244,0.329
NC,37109,Lincoln County,0.9872,0.773
NC,37111,McDowell County,0.8309,0.418
NC,37113,Macon County,0.6938,0.307
NC,37115,Madison County,0.7294,0.272
NC,37117,Martin County,0.6887,0.216
